News_Headline,News Url,Image Url,image_name,Class
ഇന്ന് രാത്രി മുതൽ കൊറോണ വിവരങ്ങൾ അയയ്ക്കരുത്'- ഈ വാട്സാപ്പ് സന്ദേശം വാസ്തവമോ?,https://malayalam.news18.com/news/kerala/kerala-sdma-rule-out-the-fake-message-on-disaster-management-act-new-edit-ar-225169.html,"https://images.news18.com/malayalam/uploads/2020/04/New-Project-2020-04-01T161715.446.jpg?im=Resize,width=540,aspect=fit,type=normal",image386.png,1
ചേർത്തലയിൽ തുണിക്കടയിൽ വൻതീപിടിത്തം,https://www.manoramaonline.com/news/kerala/2023/08/21/massive-fire-guts-textile-shop-in-alappuzhas-cherthala.html,https://img-mm.manoramaonline.com/content/dam/mm/mo/news/kerala/images/2023/8/21/cherthala-fire.jpg.image.396.206.jpg,image1447.png,1
മനസ്സിൽ കളങ്കം ഇല്ലാത്തവർക്ക് ആരുടെ മുഖത്ത് നോക്കുന്നതിനും ഭയപ്പെടേണ്ട....,https://www.facebook.com/photo.php?fbid=1960833120615148&set=pb.100000654369095.-2207520000.&type=3,https://scontent.fmaa8-1.fna.fbcdn.net/v/t1.6435-9/37654118_1960833130615147_8245955162389086208_n.jpg?_nc_cat=104&ccb=1-7&_nc_sid=730e14&_nc_ohc=hUG7r8TDjBQAX9HHAd9&_nc_ht=scontent.fmaa8-1.fna&oh=00_AfBJ4WAd1gLsl-lKQSRZIRKHbUjE_ANtMGyWFx6jN0ndbw&oe=6509F743,image1170.png,0
‘ആമസോൺ’ കുട്ടിയെ പീ‍ഡിപ്പിച്ചു; രണ്ടാനച്ഛൻ അറസ്റ്റിൽ,https://www.manoramaonline.com/news/world/2023/08/14/amazon-child-molested-stepfather-arrested.html,https://img-mm.manoramaonline.com/content/dam/mm/mo/district-news/wayanad/images/2022/6/2/Arrest-representational-image-2.jpg.image.396.206.jpg,image497.png,1
ഇതല്ലേ നമ്മുടെ ആഗ്രഹം ...?,https://www.facebook.com/photo.php?fbid=4184219524943152&set=pb.100000654369095.-2207520000.&type=3,https://scontent.fmaa8-1.fna.fbcdn.net/v/t1.6435-9/179332847_4184219531609818_5493002792556305424_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=730e14&_nc_ohc=jphqtq5p1IUAX_EWHK-&_nc_ht=scontent.fmaa8-1.fna&oh=00_AfDkT_9km44vpUJM6sfJkvcds1-deH5j-WA6XRxQwWh8hA&oe=65092307,image997.png,0
ബീഫ് കഴിക്കണമെങ്കില്‍ കോണ്‍ഗ്രസിന് വോട്ടുചെയ്യൂ,https://www.twentyfournews.com/2023/03/05/vote-for-congress-to-eat-beef-24-fact-check.html,https://www.twentyfournews.com/wp-content/uploads/2023/03/vote-for-congress-to-eat-beef.jpg,image220.png,0
ഒരു പെഡിയാരിക്സ് വാക്‌സിനിൽ 850 എംസിജി അലുമിനിയം അടങ്ങിയിട്ടുണ്ട്. എഫ്ഡി‌എ അനുസരിച്ച് 2 മാസം പ്രായമുള്ള കുഞ്ഞിന് കുത്തിവയ്ക്കുന്നതിനുള്ള ‘സുരക്ഷിത’ പരിധി 25 എം‌സി‌ജി ആണ്,https://www.vishvasnews.com/malayalam/health/vaccine-injects-an-unsafe-amount-of-aluminum-to-infants-is-misleading/,https://www.vishvasnews.com/wp-content/uploads/2020/12/vacinAlu.jpg,image187.png,0
ശശി തരൂർ പാക് താരങ്ങളുടെ ഭാര്യമാർക്കൊപ്പം ഫോട്ടോ എടുത്തോ,https://malayalam.samayam.com/latest-news/fact-check/thiruvananthapuram-mp-shashi-tharoor-didnt-pose-with-pakistan-cricketers-wives-here-is-the-fact/articleshow/69889140.cms,https://malayalam.samayam.com/thumb/69889368/shashi-tharoor-69889368.jpg?imgsize=74109&width=700&height=525&resizemode=75,image841.png,0
ഇലോൺ മസ്‌കിന് മറുപടിയുമായി മാർക്ക് സക്കർബർഗ്,https://malayalam.indiatoday.in/tech/story/musk-vs-zuckerberg-zuckerberg-wants-to-broadcast-on-a-trusted-platform-627885-2023-08-07,https://akm-img-a-in.tosshub.com/lingo/itml/images/story/202308/elon_musk_4-sixteen_nine.jpg?size=176:98,image1257.png,1
ചൂടുവെള്ളത്തിൽ പൈനാപ്പിൾ ഇട്ട് കുടിച്ചാൽ ക്യാൻസർ മാറകും,https://www.twentyfournews.com/2023/01/28/pineapple-hot-water-cancer-fact-check.html,https://www.twentyfournews.com/wp-content/uploads/2023/01/pineapple-hot-water-cancer-fact-check.jpg,image223.png,0
"'ഉമ്മൻചാണ്ടിയുടെ കല്ലറയിലെ പ്രാർത്ഥനയും നിവേദനവും അവരുടെ വിശ്വാസം, ചോദ്യം ചെയ്യാനില്ല'; വിമർശനങ്ങളെ തള്ളി മകൻ",https://www.asianetnews.com/kerala-news/chandy-oommen-rejected-criticism-on-prayer-in-front-of-oommen-chandys-tomb-nbu-ryy5dm,https://static-ai.asianetnews.com/images/01h74af2y80mjbe31ynvsczc1q/chandy-oommen_254x142xt.jpg,image1812.png,1
ഇന്ത്യാ ചൈനാ സംഘര്‍ഷം; അതിർ‍ത്തി ഗ്രാമങ്ങളില്‍ നിന്നും നാട്ടുകാര്‍ സുരക്ഷിത സ്ഥാനത്തേക്ക് കൂട്ടമായി മാറുന്നു,https://malayalam.samayam.com/latest-news/fact-check/fact-check-on-a-media-report-that-says-arunachal-pradesh-villages-located-near-the-line-actual-control-on-india-china-issues/articleshow/78060625.cms?story=1,https://static.langimg.com/thumb/78060718/samayam-malayalam-78060718.jpg?width=680&resizemode=3,image672.png,0
അരീക്കൽ വെള്ളച്ചാട്ടത്തിനടുത്ത് സ്ത്രീകളെ കടന്നുപിടിച്ച പൊലീസുകാരൻ അറസ്റ്റിൽ,https://www.asianetnews.com/kerala-news/muvattupuzha-policeman-arrested-for-molesting-women-in-public-near-areekkal-waterfalls-kgn-rzgp3z,https://static-ai.asianetnews.com/images/01h7y24j1ge5wqa1byth2vt348/policeman_254x142xt.jpg,image1649.png,1
"ബഹിരാകാശത്തും വൻശക്തിയായി ഇന്ത്യ, കിതപ്പിലായി പാക്കിസ്ഥാന്റെ സുപാർകോ; എന്താണ് സംഭവിച്ചത്?...

",https://www.manoramaonline.com/technology/science/2023/07/18/here-is-the-story-of-suparco-pak-s-space-agency-founded-before-isro.html,https://img-mm.manoramaonline.com/content/dam/mm/mo/news/just-in/images/2023/7/13/india-mo-on-missi-on.jpg.image.845.440.jpg,image472.png,1
മുങ്ങിമരണം തുടർക്കഥയാകുന്നു; സംസ്ഥാനത്ത് മൂന്നിടത്തായി മരിച്ചത് വിദ്യാര്‍ത്ഥികളുള്‍പ്പെടെ ഏഴ് പേർ,https://www.asianetnews.com/kerala-news/seven-people-including-students-drowned-in-three-places-in-the-state-sts-ryyvvr,https://static-ai.asianetnews.com/images/01ggq2t7d3tg5tjtyyw8wgvs8a/untitled-3-_254x142xt.jpg,image1794.png,1
ആകാശത്ത് കണ്ടത് പറക്കും തളിക? വിചിത്ര വസ്തുവിനെപ്പറ്റി ദിവ്യപ്രഭ,https://malayalam.indiatoday.in/lifestyle/story/divyaprabha-shares-the-images-of-ufo-630540-2023-08-12,https://akm-img-a-in.tosshub.com/lingo/itml/images/story/202308/divya-sixteen_nine.jpg?size=176:98,image1246.png,1
"പുതുപ്പള്ളിയിൽ വമ്പൻ കരുനീക്കവുമായി ഇടതുമുന്നണി, ഉമ്മൻചാണ്ടിയുടെ വിശ്വസ്തൻ സ്ഥാനാ‍ര്‍ത്ഥിയായേക്കും",https://www.asianetnews.com/kerala-news/oommen-chandy-s-ex-aide-may-become-puthuppally-ldf-candidate-apn-rz4nla,https://static-ai.asianetnews.com/images/01h7dc2z509kabgsyan1fyxkk6/puthuppally-ldf--1-_254x142xt.jpg,image1749.png,1
'വികാസ് ദുബെയുടെ മരണവാര്‍ത്ത അറിഞ്ഞ് പിതാവ് ഹൃദയാഘാതം വന്ന് മരിച്ചു,https://malayalam.samayam.com/latest-news/fact-check/fact-check-on-vikas-dubey-father-has-died-of-heart-attack-post-his-sons-death/articleshow/76998190.cms?story=2,https://static.langimg.com/thumb/76998273/samayam-malayalam-76998273.jpg?width=680&resizemode=3,image721.png,0
നാട്ടുകാര്‍ക്ക് മൊത്തം ഓണസദ്യയൊരുക്കി ജനകീയ സമിതി; വേറിട്ട മാതൃക,https://www.manoramanews.com/news/kerala/2023/08/20/kozhikode-puthiyapalam-onam-sadya.html,https://img.manoramanews.com/content/dam/mm/mnews/news/kerala/images/2023/8/20/onam-sadya.jpg.image.260.136.jpg,image1359.png,1
എച്ച്‌യുഐഡി 56 ജില്ലകളിലേക്കു കൂടി,https://www.manoramaonline.com/news/business/2023/08/17/huid-expanded-to-56-districts.html,https://img-mm.manoramaonline.com/content/dam/mm/mo/news/business/images/2023/8/11/Gold-Ornaments..jpg.image.396.206.jpg,image1535.png,1
"വാക്സിൻ എടുക്കുമ്പോൾ കൈ ഇതുപോലെ വച്ചാൽ വേദനയോ, സൈഡ് എഫക്ട്ഓ ഉണ്ടാവില്ല",https://www.facebook.com/photo.php?fbid=935007800572469&set=pb.100021897726401.-2207520000.&type=3,https://scontent.fmaa8-1.fna.fbcdn.net/v/t1.6435-9/150290049_935007803905802_3380145944976601711_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_ohc=x8hCLNfFRr4AX9m8luL&_nc_ht=scontent.fmaa8-1.fna&oh=00_AfDZ8lz9G9GqXrJMBQQ2J1Ql0vrhJNGnIpgm4uDXrnG1CA&oe=65085F0E,image947.png,0
ഭാരതമാതാവ് ഇന്ത്യൻ പൗരന്റെ ശബ്ദം; ഭാരത് ജോഡോ അനുഭവം പങ്കിട്ട് രാഹുല്‍,https://www.manoramanews.com/news/india/2023/08/15/rahul-gandhi-independence-tweet.html,https://img.manoramanews.com/content/dam/mm/mnews/news/india/images/2023/8/15/rahul-independence.jpg.image.260.136.jpg,image1340.png,1
കീരിക്കാടന്‍ ജോസ് ആശുപത്രിയിൽ'; സത്യം ഇതാണ്; മോഹൻരാജിന്റെ കുടുംബത്തിന് പറയാനുള്ളത്,https://malayalam.news18.com/photogallery/film/keerikkadan-jose-in-hospital-family-against-social-media-rumors-updated-tv-umb-aa-187841.html,"https://images.news18.com/malayalam/uploads/2019/12/keerikkadan.jpg?im=Resize,width=904,aspect=fit,type=normal",image393.png,1
സെന്റ് മേരീസ് ബസലിക്ക വികാരിയായി ഫാദർ ആന്റണി പൂതവേലിൽ; ‘നാളത്തെ ദിനം സുപ്രധാനം’,https://www.manoramanews.com/news/kerala/2023/08/19/angamaly-baslica-ernakulam-priest-antony-take-charge.html,https://img.manoramanews.com/content/dam/mm/mnews/news/kerala/images/2023/8/19/stmaryias.jpg.image.260.136.jpg,image1376.png,1
ലോക്ക് ഡൗണ്‍ ലംഘിച്ച് മുസ്ലിങ്ങളുടെ നമസ്‍കാരം;,https://malayalam.samayam.com/latest-news/fact-check/fact-check-old-video-of-muslims-offering-namaz-shared-claiming-lockdown-violation/articleshow/75761251.cms,https://static.langimg.com/thumb/75761388/samayam-malayalam-75761388.jpg?width=680&resizemode=3,image771.png,0
"പുരാവസ്തുതട്ടിപ്പിലെ കള്ളപ്പണ ഇടപാടില്‍ ഇഡി അന്വേഷണം തുടങ്ങി, കെപിസിസി പ്രസിഡന്‍റ്   കെ.സുധാകരന് നോട്ടീസ്",https://www.asianetnews.com/kerala-news/k-sudhakaran-gets-ed-notice-on-monson-case-rzbadn,https://static-ai.asianetnews.com/images/01h2qvdpc9qgrdqnchejy8fw6q/k-sudhakaran-with-monson-mavunkal--1-_254x142xt.jpg,image1694.png,1
എനക്കറിയില്ല …,https://www.facebook.com/photo.php?fbid=4117614908270281&set=pb.100000654369095.-2207520000.&type=3,https://scontent.fmaa8-1.fna.fbcdn.net/v/t1.6435-9/169551363_4117614911603614_1847411835261812110_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=730e14&_nc_ohc=EHD86P6hSyYAX-sYnfR&_nc_oc=AQkdhoK_wxClStp2YOhp4RqiWgNjGkNBOiSHjPZmr_xI7Z4GCUcqTaU3K1p-yTHP0LY&_nc_ht=scontent.fmaa8-1.fna&oh=00_AfBFqJ6_xDQIeVDLrYi0BUOzBAr_j32lZf4GdqSrY3mYYQ&oe=65094C55,image1004.png,0
ഒരു ക്രിസ്ത്യന്‍ പുരോഹിതന്‍ ഒരു യുവതിയോടൊപ്പം നൃത്തം ചെയ്യുന്നതിന്‍റെ ദൃശ്യങ്ങള്‍ സമൂഹ മാധ്യമങ്ങളില്‍ പ്രചരിപ്പിക്കുന്നുണ്ട്.,https://www.malayalam.factcrescendo.com/video-of-a-brasilian-actor-goes-viral-as-a-priest-dancing-with-a-woman/,https://distritt.com/wp-content/uploads/2023/06/sacerdote-baila-pegadito-con-mujer-video.jpg,image905.png,0
ചൈനീസ് റോക്കറ്റ് തകർന്നു വീഴുന്ന' ഈ ദൃശ്യങ്ങൾ കണ്ടിരുന്നോ?,https://malayalam.samayam.com/latest-news/fact-check/fact-check-video-of-spacex-starship-sn9-shared-as-chinese-rocket-falling-video/articleshow/82545343.cms,https://malayalam.samayam.com/thumb/82545556/spacex-82545556.jpg?imgsize=175361&width=700&height=525&resizemode=75,image589.png,0
ഫ്രാൻസിൽ മുസ്ലീം സ്ത്രീയെ പോലീസുകാരൻ മർദ്ദിച്ചോ?,https://malayalam.samayam.com/latest-news/fact-check/viral-video-claiming-muslim-women-assaulted-in-france-police-station-is-old-from-canada/articleshow/79098955.cms,https://malayalam.samayam.com/thumb/79098996/samayam-fact-check-79098996.jpg?imgsize=91607&width=700&height=525&resizemode=75,image632.png,0
തൃപ്പൂണിത്തുറ തെരഞ്ഞെടുപ്പ്‌ കേസ്‌ പരി​ഗണിക്കുന്നത് സുപ്രീംകോടതി രണ്ടാഴ്‌ച്ചത്തേക്ക്‌ മാറ്റി,https://www.asianetnews.com/kerala-news/supreme-court-adjourned-the-hearing-of-the-tripunithura-election-case-for-two-weeks-fvv-rzlcbk,https://static-ai.asianetnews.com/images/01h54qw3rwjn2k68m8hvp3vm3y/supreme-court_254x142xt.jpg,image1599.png,1
അർഷ്ദീപ് സിംഗ് നിരാശപ്പെടുത്തിയെന്ന് ആകാശ് ചോപ്ര,https://malayalam.indiatoday.in/sports/story/akash-chopra-says-arshdeep-singh-disappointed-him-636868-2023-08-19,https://akm-img-a-in.tosshub.com/lingo/itml/images/story/202308/arshdeep_i-sixteen_nine.jpg?size=176:98,image1228.png,1
"കേസല്ല, മിത്താണ് പ്രധാനം, സ്പീക്കർ തിരുത്താതെ പിന്നോട്ടില്ലെന്ന് എൻഎസ്എസ്",https://www.asianetnews.com/kerala-news/nss-response-on-kerala-police-move-to-close-fir-on-namajapa-yatra-kgn-rzgto9,https://static-ai.asianetnews.com/images/01h7y7rs84k2c5fz1gg97p3wvs/an-shamseer--namajapa-yatra_254x142xt.jpg,image1645.png,1
"വൈറ്റില പാലത്തിൽ നിന്നും മെട്രോയുടെ പാലത്തിലേക്കുള്ള ഉയരം എന്നത് ആറ് മീറ്ററാണ്. താഴെയുള്ള റോഡിലേക്ക് ഇത് വെറും അഞ്ചര മീറ്ററാണ് ഉള്ളത്. മൂന്ന് തട്ടുകളിലായി കാറുകള്‍ കൊണ്ടു വരുന്ന കണ്ടെയിനർ‍ ലോറികള്‍ പാലത്തിൽ കയറിയാൽ വണ്ടി ഒന്ന് കുനിയേണ്ടി വരും.""",https://malayalam.samayam.com/latest-news/fact-check/viral-video-claiming-vyttila-flyover-height-flouted-norms-is-fake/articleshow/78319903.cms,https://static.langimg.com/thumb/80185503/samayam-malayalam-80185503.jpg?width=680&resizemode=3,image661.png,0
മനുഷ്യാവകാശ കമ്മിഷന്‍ ചെയര്‍പേഴ്‌സൺ നിയമനം: സർക്കാരിന്റെ ഏകപക്ഷീയ തീരുമാനമെന്ന് വിഡി സതീശൻ,https://www.asianetnews.com/kerala-news/vd-satheesan-disagreement-note-on-human-rights-commission-chairperson-posting-kgn-rz0rfb,https://static-ai.asianetnews.com/images/01gxjgvhxx22psk10x6ds9g546/vd-satheesan_254x142xt.jpg,image1758.png,1
സ്മാർട്ട് ഫോണുകളിലെ പ്രീ-ഇൻസ്റ്റോൾഡ് ആപ്പുകൾക്ക് വിലക്കോ ,https://www.twentyfournews.com/2023/03/16/govt-planning-a-crackdown-on-pre-installed-apps-24-fact-check.html,https://www.twentyfournews.com/wp-content/uploads/2023/03/24-image-2023-03-16T124118.998.jpg,image219.png,0
സ്റ്റാഫ് സെലക്ഷന്‍ കമ്മിഷന്റേതെന്ന പേരില്‍ ട്വിറ്റര്‍ അക്കൗണ്ട,https://malayalam.oneindia.com/fact-check/fact-check-twitter-account-spread-in-the-manner-of-the-staff-selection-commission-is-fake-281209.html?ref_medium=Desktop&ref_source=OI-ML&ref_campaign=Topic-Article&story=1,https://malayalam.oneindia.com/img/2021/02/xfake-news22-1613986606-jpg-pagespeed-ic-dzectrmcrg-1614060796.jpg,image142.png,0
വധു കാമുകനൊപ്പം പോയി: സ്വന്തക്കാരെ സമാധാനപ്പെടുത്തി വരൻ,https://malayalam.indiatoday.in/district-news/thiruvananthapuram-news/story/on-her-wedding-day-the-bride-went-to-the-beauty-parlor-and-walked-out-with-her-lover-and-the-marriage-ended-637606-2023-08-21,https://akm-img-a-in.tosshub.com/lingo/itml/images/story/202308/wedding-sixteen_nine.jpg?size=176:98,image1279.png,1
തട്ടിപ്പ് നടത്തിയില്ലെങ്കിൽ മാനനഷ്ട കേസ് കൊടുക്കൂ: മാത്യു കുഴൽനാടനെ വെല്ലുവിളിച്ച് ഡിവൈഎഫ്ഐ,https://www.asianetnews.com/kerala-news/dyfi-challenge-mathew-kuzhalnadan-to-file-defamation-case-kgn-rzksf8,https://static-ai.asianetnews.com/images/01h81g1p2wfdgnxgj1asskmpvw/mathew-kuzhalnadan--vk-sanoj_254x142xt.jpg,image1612.png,1
